Date,OIL_RATE
1/1/1967,78.61842105
2/1/1967,70.95394737
3/1/1967,76.48026316
4/1/1967,74.01315789
5/1/1967,74.47368421
6/1/1967,85.09868421
7/1/1967,98.19078947
8/1/1967,124.6052632
9/1/1967,101.2171053
10/1/1967,91.875
11/1/1967,92.79605263
12/1/1967,98.98026316
1/1/1968,98.84868421
2/1/1968,62.66447368
3/1/1968,30.19736842
4/1/1968,64.17763158
5/1/1968,5.723684211
7/1/1969,109.7039474
8/1/1969,102.8947368
9/1/1969,104.6710526
10/1/1969,108.1578947
11/1/1969,104.9342105
12/1/1969,113.0592105
1/1/1970,113.2236842
2/1/1970,105
3/1/1970,118.3552632
4/1/1970,134.9342105
5/1/1970,191.6447368
6/1/1970,174.8684211
7/1/1970,171.2171053
8/1/1970,203.9144737
9/1/1970,252.3026316
10/1/1970,254.4407895
11/1/1970,272.3684211
12/1/1970,280.9210526
1/1/1971,283.5197368
2/1/1971,253.3552632
3/1/1971,280.5592105
4/1/1971,334.375
5/1/1971,336.9078947
6/1/1971,230.8223684
7/1/1971,241.7105263
8/1/1971,253.0592105
9/1/1971,250.4605263
10/1/1971,281.0197368
11/1/1971,241.7434211
12/1/1971,265.1315789
1/1/1972,265.3289474
2/1/1972,249.3421053
3/1/1972,272.7631579
4/1/1972,254.3092105
5/1/1972,298.125
6/1/1972,381.25
7/1/1972,395.1973684
8/1/1972,378.9473684
9/1/1972,335.1315789
10/1/1972,361.7763158
11/1/1972,333.5526316
12/1/1972,253.4868421
1/1/1973,236.2828947
2/1/1973,235.8881579
3/1/1973,254.3421053
4/1/1973,252.6644737
5/1/1973,211.3815789
6/1/1973,191.6447368
7/1/1973,204.6381579
8/1/1973,249.1447368
9/1/1973,182.4013158
10/1/1973,238.9144737
11/1/1973,213.9144737
12/1/1973,208.5526316
1/1/1974,196.4144737
2/1/1974,161.2171053
3/1/1974,189.7039474
4/1/1974,129.2763158
5/1/1974,158.9473684
6/1/1974,325.8223684
7/1/1974,305.0328947
8/1/1974,233.3223684
9/1/1974,141.3815789
10/1/1974,144.7039474
11/1/1974,148.0592105
12/1/1974,79.76973684
1/1/1975,98.84868421
2/1/1975,89.60526316
3/1/1975,103.6513158
4/1/1975,84.47368421
5/1/1975,80.29605263
6/1/1975,66.67763158
7/1/1975,80.36184211
8/1/1975,72.43421053
9/1/1975,64.30921053
10/1/1975,76.57894737
11/1/1975,70.625
12/1/1975,65.92105263
1/1/1976,57.73026316
2/1/1976,50.46052632
3/1/1976,12.59868421
4/1/1976,22.63157895
5/1/1976,20.32894737
6/1/1976,5.032894737
